date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cluster
2018-02-07,711.2,711.2,700.0,708.8,697.6,712.0,706.4000000000001,708.8,718.4000000000001,724.8,729.6,718.4000000000001,780.0,788.0,804.8,832.0,932.0,995.2,1070.4,1124.0,1112.8,1136.0,1160.0,1145.6,1117.6,1142.4,1124.8000000000002,1084.8,1078.4,1054.4,1048.8,1049.6,1025.6,1004.0,964.8,945.6,891.2,854.4000000000001,836.8,807.2,776.0,781.5999999999999,761.6,751.2,709.6,708.8,708.0,708.0,1
2018-02-08,709.5999999999999,704.0,702.4,694.4,702.4000000000001,700.0,702.4,709.5999999999999,701.5999999999999,709.6,712.0,716.0,756.0,789.5999999999999,793.6,813.6,929.6,1000.8,1052.0,1078.4,1086.4,1107.1999999999998,1072.0,1054.4,1096.0,1073.6,1076.8,1056.0,1010.4,967.2,961.6,994.4,996.8,974.4,940.0,892.0,864.0,821.5999999999999,796.8,801.6,762.4000000000001,739.2,738.4000000000001,744.8,701.5999999999999,716.0,701.5999999999999,696.0,1
2018-02-09,693.6,698.4,711.2,720.8,696.0,687.2,704.0,704.8,704.0,707.2,704.0,722.4,770.4,781.6,777.5999999999999,820.8,924.8,972.0,1059.2,1053.6,1076.8,1085.6,1086.4,1072.0,1084.8,1066.4,1044.8000000000002,1047.1999999999998,1015.2,973.6,967.2,956.8,941.6,923.2,892.0,880.8,858.4000000000001,822.4,798.4,783.2,748.8,735.2,723.2,728.0,700.0,700.0,695.2,692.8,0
2018-02-10,692.8,685.6,700.0,692.0,691.2,692.0,693.6,699.2,704.0,700.8,706.4000000000001,702.4,738.4,757.6,759.2,746.4,742.4,728.0,732.0,742.4000000000001,730.4000000000001,740.0,735.2,729.5999999999999,738.4,736.0,712.0,729.5999999999999,727.2,724.8,732.0,735.2,727.2,730.4,736.0,748.0,749.5999999999999,744.8,740.8,741.5999999999999,739.2,748.0,730.4000000000001,733.5999999999999,700.8,708.0,709.6,703.2,0
2018-02-11,706.4,708.8,702.4,713.6,707.2,711.2,705.5999999999999,715.2,712.0,712.0,716.0,715.2,752.8,769.5999999999999,760.8,754.4,751.2,756.8,738.4,724.8,716.0,708.8,715.2,722.4,708.8,700.0,709.6,724.0,717.6,703.2,706.4,703.2,712.0,713.6,704.0,717.6,727.2,726.4,727.2,735.2,716.8,726.4,717.5999999999999,723.2,689.6,700.8,688.0,693.6,0
2018-02-12,695.2,698.4,691.2,692.8,695.2,686.4000000000001,701.5999999999999,692.8,699.2,687.2,704.8,709.6,776.8,831.2,834.4,846.4000000000001,899.2,996.8,1072.8,1094.4,1106.4,1128.8,1108.0,1096.8,1080.0,1086.4,1064.0,1092.0,1066.4,1029.6,1042.4,1045.6,1024.8,1011.2,964.8,921.6,894.4000000000001,860.8,823.2,786.4000000000001,771.2,763.2,752.0,747.2,728.8,711.2,709.5999999999999,709.5999999999999,1
2018-02-13,712.0,712.0,714.4000000000001,728.8,718.4,718.4000000000001,712.8,716.0,717.6,712.8,724.0,722.4,786.4,848.8,856.8,853.5999999999999,905.6,992.8,1067.2,1076.0,1096.8,1118.4,1102.4,1098.4,1095.2,1088.8000000000002,1063.1999999999998,1076.0,1065.6,1002.4,1007.2,1015.2,1008.0,981.6,952.8,924.0,883.2,848.0,826.4,814.4,777.5999999999999,768.0,766.4,763.2,728.8,736.8,728.0,733.6,1
2018-02-14,732.8,726.4,746.4000000000001,743.2,732.8,732.8,722.4000000000001,736.0,716.0,734.4000000000001,728.8,740.0,780.0,852.8,855.2,858.4000000000001,894.4,952.8,1037.6,1008.0,1010.4,1048.8000000000002,1065.6,1062.4,1019.2,1036.0,1032.8,1025.6,1020.0,976.8,964.8,980.8,956.8,958.4000000000001,948.0,908.8,866.4,840.0,814.4,805.6,780.0,770.4,769.6,762.4,724.8,713.6,716.8,709.6,1
2018-02-15,724.8,712.8,730.4,720.0,730.4,725.5999999999999,731.2,729.5999999999999,728.0,725.5999999999999,732.0,744.0,808.0,860.8,870.4,867.2,908.0,972.0,1027.2,1029.6,1046.4,1027.2,1052.0,1046.4,1042.4,1054.4,1052.8,1030.4,1019.2,959.2,975.2,990.4,954.4,936.8,904.8,882.4,869.5999999999999,850.4,845.5999999999999,796.0,772.8,758.4,764.8,760.0,729.5999999999999,719.2,714.4,713.6,1
2018-02-16,712.8,723.2,709.6,721.6,705.6,712.0,720.0,716.0,725.5999999999999,721.5999999999999,730.4,724.8,823.2,872.0,870.4,877.6,913.6,967.2,1012.0,1004.0,1044.8,1028.8,1027.1999999999998,1026.4,1031.2,1000.8,1003.2,1012.0,1009.5999999999999,931.2,935.2,944.8,922.4,925.5999999999999,896.8,867.2,838.4000000000001,824.8,768.8,747.2,726.4000000000001,704.0,716.0,720.0,669.6,674.4,679.2,673.5999999999999,0
2018-02-17,679.2,679.2,668.8,674.4,676.0,669.6,689.5999999999999,679.2,664.8,668.0,677.5999999999999,683.2,731.2,736.0,739.2,732.8,720.8,721.6,720.8,718.4,718.4,716.0,717.5999999999999,716.8,708.8,704.0,708.8,706.4000000000001,722.4000000000001,728.0,700.8,715.2,706.4,709.6,717.5999999999999,709.6,706.4000000000001,705.6,702.4,716.8,720.8,696.0,704.0,705.6,668.0,676.0,680.8,669.6,0
2018-02-18,662.4,664.8,669.5999999999999,681.5999999999999,674.4,661.6,666.4,676.8,685.6,675.2,661.6,664.0,706.4,724.0,721.5999999999999,724.0,706.4000000000001,716.8,710.4,717.5999999999999,726.4,720.8,712.0,715.2,721.6,734.4,739.2,743.2,726.4,728.8,729.6,737.6,741.6,732.8,736.0,733.6,736.8,735.2,724.0,724.8,714.4,711.2,715.2,708.0,684.0,672.8,677.6,673.6,0
2018-02-19,692.8,687.2,686.4,692.8,686.4,690.4,688.0,697.5999999999999,681.5999999999999,698.4,705.5999999999999,712.0,783.2,847.2,855.2,852.0,904.0,979.2,1069.6,1083.2,1122.4,1164.0,1132.0,1108.0,1105.6,1106.4,1102.4,1097.6,1095.1999999999998,1050.4,1051.2,1068.8,1028.8,1011.2,976.0,934.4,909.6,868.0,848.0,828.0,795.2,788.8,773.5999999999999,782.4,733.6,741.5999999999999,737.6,731.2,1
2018-02-20,728.0,748.0,723.2,738.4,740.0,730.4,736.8,726.4000000000001,728.0,728.0,739.2,741.5999999999999,824.0,868.0,868.0,879.2,934.4,1019.2,1105.6,1089.6,1142.4,1146.4,1104.8,1122.4,1130.4,1088.8000000000002,1100.8,1107.1999999999998,1098.4,1036.0,1043.2,1069.6,1040.0,1014.4,979.2,940.8,894.4000000000001,851.2,828.0,812.0,780.0,761.6,762.4,754.4000000000001,709.5999999999999,708.8,712.0,708.8,1
2018-02-21,703.2,698.4000000000001,723.2,702.4000000000001,708.0,711.2,709.6,710.4,701.6,696.8,720.0,716.8,800.0,857.6,832.0,845.6,910.4,965.6,1040.8,1059.1999999999998,1074.4,1096.8,1117.6,1106.4,1132.8000000000002,1120.8,1095.1999999999998,1090.4,1078.4,1036.8,1035.2,1055.1999999999998,1048.0,1019.2,976.0,920.8,915.2,869.5999999999999,829.5999999999999,802.4,785.6,776.0,762.4000000000001,748.0,710.4,696.8,698.4,692.8,1
2018-02-22,710.4,703.2,700.8,703.2,695.2,704.8,702.4,704.8,704.0,704.0,712.0,719.2,792.0,832.8,810.4,824.8,888.8,960.8,1067.2,1071.2,1115.2,1156.0,1166.4,1156.0,1159.1999999999998,1120.0,1104.0,1099.1999999999998,1077.6,1048.8,1025.6,1048.8,1018.4,1010.4000000000001,988.0,946.4000000000001,904.0,876.8,839.2,800.8,784.8,774.4,764.0,756.0,732.0,707.2,712.8,705.5999999999999,1
2018-02-23,715.2,712.8,700.8,710.4,708.8,726.4,717.6,716.8,721.6,728.8,727.2,723.2,781.6,820.8,824.8,841.5999999999999,882.4,997.6,1078.4,1089.6,1080.8,1132.0,1125.6,1088.0,1101.6,1092.8000000000002,1079.1999999999998,1049.6,1021.5999999999999,987.2,988.8,993.5999999999999,974.4,956.0,921.6,887.2,857.6,818.4,811.2,795.2,772.8,765.6,752.8,762.4,712.8,709.6,718.4000000000001,706.4,1
2018-02-24,700.8,704.0,698.4,694.4,693.5999999999999,698.4,698.4,692.8,695.2,693.5999999999999,696.0,708.8,744.8,752.0,748.8,744.8,752.8,742.4,744.8,759.2,750.4,739.2,741.6,751.2,746.4000000000001,751.2,742.4,743.2,748.0,740.0,738.4,744.8,744.0,752.8,750.4,765.5999999999999,764.8,768.8,752.8,763.2,764.0,770.4,772.8,760.0,720.0,728.0,730.4,727.2,0
2018-02-25,729.6,727.2,732.0,734.4,728.0,730.4,731.2,739.2,734.4,736.8,736.0,740.0,782.4,732.8,667.2,660.0,656.8,660.8,749.6,726.4,717.6,710.4,728.0,730.4,730.4,736.0,734.4,739.2,735.2,738.4,740.0,738.4000000000001,736.8,729.5999999999999,728.8,730.4,744.8,732.0,728.8,720.0,724.8,724.8,719.2,718.4,708.8,703.2,708.8,703.2,0
